location_id,externalId,authority_name,authorityIdentifier,deviceName,measurement_type,platform_name,platformId,isUntrusted,description,locationInstallationPartner,isChornobylExclusionZone,addressCatuttc,addressPostCode,addressAdminUnitL1,admin_unit_l2,addressAdminUnitL3,addressAdminUnitL4,settlement_name,addressPostTypeName,addressCitytId,street_name,street_number,addressLocatorBuilding,addressDescription,lat,lon,source_file,region_raw,region_key,oblast_name_uk,oblast_name_en,display_region
20804,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35060050010069539,,Україна,Кіровоградська область,Новоукраїнський район,Дoбpoвeличківськa селищнa громада,Добровеличківка,селище,10064.0,Добровеличківка,,,,48.386,31.17,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20805,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35040230010012861,,Україна,Кіровоградська область,Кропивницький район,Нoвгopoдківськa селищнa громада,Новгородка,селище,10310.0,Новгородка,,,,48.36,32.66,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20806,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35020130010010491,,Україна,Кіровоградська область,Голованівський район,Нoвoapхaнгeльськa селищнa громада,Новоархангельськ,селище,10333.0,Новоархангельськ,,,,48.663,30.8,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20807,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35080070010099782,,Україна,Кіровоградська область,Олександрійський район,Онуфpіївськa селищнa громада,Онуфріївка,селище,10471.0,Онуфріївка,,,,48.9,33.45,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20808,,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,38435613.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Кіровоградський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA35040330010019383,,Україна,Кіровоградська область,Кропивницький район,Устинівськa селищнa громада,Устинівка,селище,10555.0,Устинівка,,,,47.955,32.53,saveecobot_radiation_locations.csv,Кіровоградська область,kirovohrad,Kirovohradska oblast,Kirovohrad Oblast,Kirovohrad Oblast
20809,,ДУ «Луганський обласний центр контролю та профілактики хвороб МОЗ України»,38476320.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Луганський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA44120110010072887,,Україна,Луганська область,Сєвєродонецький район,Сєвєpoдoнeцькa міська громада,Сєвєродонецьк,місто,10691.0,вулиця Юності,,,,48.954,38.47,saveecobot_radiation_locations.csv,Луганська область,luhansk,Luhanska oblast,Luhansk Oblast,Luhansk Oblast
20810,,ДУ «Львівський обласний центр контролю та профілактики хвороб МОЗ України»,38501853.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Львівський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA46120070140077349,,Україна,Львівська область,Стрийський район,Микoлaївськa міська громада,Миколаїв,місто,12267.0,Миколаїв,,,,49.526,23.97,saveecobot_radiation_locations.csv,Львівська область,lviv,Lvivska oblast,Lviv Oblast,Lviv Oblast
20811,,ДУ «Львівський обласний центр контролю та профілактики хвороб МОЗ України»,38501853.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Львівський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA46040010010077682,,Україна,Львівська область,Золочівський район,Бpoдівськa міська громада,Броди,місто,26399.0,Броди,,,,50.079,25.14,saveecobot_radiation_locations.csv,Львівська область,lviv,Lvivska oblast,Lviv Oblast,Lviv Oblast
20812,,ДУ «Львівський обласний центр контролю та профілактики хвороб МОЗ України»,38501853.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Львівський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA46020030010069501,,Україна,Львівська область,Дрогобицький район,Дpoгoбицькa міська громада,Дрогобич,місто,11393.0,Дрогобич,,,,49.357,23.5,saveecobot_radiation_locations.csv,Львівська область,lviv,Lvivska oblast,Lviv Oblast,Lviv Oblast
20813,,ДУ «Львівський обласний центр контролю та профілактики хвороб МОЗ України»,38501853.0,,вручну,Міністерство охорони здоров'я України,42.0,False,ДУ «Львівський обласний центр контролю та профілактики хвороб МОЗ України»,,False,UA46020030010069501,,Україна,Львівська область,Дрогобицький район,Дpoгoбицькa міська громада,Дрогобич,місто,11393.0,Дрогобич,,,,49.361,23.5,saveecobot_radiation_locations.csv,Львівська область,lviv,Lvivska oblast,Lviv Oblast,Lviv Oblast
