region_code,region_label,region_key,year,source_metric,metric_value_total_thsd_t,metric_name_en,metric_code,metric_value_hazardous_thsd_t,metric_source_note
7100000000,Cherkasy,cherkasy,2016,disposal waste on landfills,252.7,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7100000000,Cherkasy,cherkasy,2016,generated_proxy,956.0,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7100000000,Cherkasy,cherkasy,2016,incineration waste,5.6,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7100000000,Cherkasy,cherkasy,2016,recovery waste,697.7,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7400000000,Chernihiv,chernihiv,2016,disposal waste on landfills,418.4,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7400000000,Chernihiv,chernihiv,2016,generated_proxy,538.3,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7400000000,Chernihiv,chernihiv,2016,incineration waste,15.6,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7400000000,Chernihiv,chernihiv,2016,recovery waste,104.3,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7300000000,Chernivtsi,chernivtsi,2016,disposal waste on landfills,209.6,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7300000000,Chernivtsi,chernivtsi,2016,generated_proxy,350.7,generated,generated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7300000000,Chernivtsi,chernivtsi,2016,incineration waste,20.0,incinerated,incinerated,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
7300000000,Chernivtsi,chernivtsi,2016,recovery waste,121.1,recovery,recovery,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
1200000000,Dnipropetrovsk,dnipropetrovsk,2016,disposal waste on landfills,103161.9,disposal_on_landfills,disposal_on_landfills,,generated is proxied as recovery + incinerated + disposal because the current official regional file exposes waste-management outcomes.
