Post_ID,Post_Name,Post_Code,Riverbas_Name,WaterLab_Name,Latitude,Longitude,Controle_Date,Azot,BSK5,Zavisli,Kisen,Sulfat,Hlorid,Amoniy,Nitrat,Nitrit,Fosfat,SPAR,Permanganat,HSK,Fitoplan,Atrazin,Simazin,source_file
38401,"р. Лазещина, 14 км, вище с. Лазещина, Рахівський район, (референційні умови)",UA_M5.3.1_0035_01,Дунай,Лабораторія моніторингу вод Західного регіону,48.238967,24.431639,2026-02-11,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38405,"р. Батар, 50 км, с. Черна, Берегівський район , автодорожний міст",UA_M5.3.1_0203_01,Дунай,Лабораторія моніторингу вод Західного регіону,48.136203,23.187953,2026-02-13,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38407,"р. Сівка, 39,5 км, м. Калуш, автодорожний міст по вул. Богдана Хмельницького, вплив Домбровського кар'єру",UA_M5.2_0309_02,Дністер,Лабораторія моніторингу вод Західного регіону,49.047806,24.330528,2026-02-11,2.1,3.1,13.0,13.4,223.0,397.0,0.89,4.8,0.038,,0.1,,25.0,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38409,"р.Кропивник, 12 км, с. Мостище, автодорожний міст, вплив Домбровського карєру",UA_M5.2_0310_01,Дністер,Лабораторія моніторингу вод Західного регіону,49.071306,24.342306,2026-02-12,3.6,91.0,11.0,10.0,2048.0,6523.0,2.2,3.0,0.11,0.033,0.1,,309.0,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38413,"р. Юрківка, 14,1 км, с.Юрківці , скид вод ферма ""Приміщення для вирощування свиней""",UA_M5.2_0661_01,Дністер,Лабораторія моніторингу вод Західного регіону,48.508306,25.940056,2026-02-11,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38415,"р. Сокиряни, 11,7 км, м. Сокиряни, скид Сокирянська виправна колонія №67",UA_M5.2_0931_01,Дністер,Лабораторія моніторингу вод Західного регіону,48.439389,27.425583,2026-02-17,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38447,"р. Малехівка, 6 км, с. Малехів, під мостом по дорозі Львів - Жовква, вплив дренажних вод полігону твердих побутових відходів ЛКП ""Збиранка""",UA_A6.6.1_0017_01,Вісла,Лабораторія моніторингу вод Західного регіону,49.892089,24.058828,2026-02-03,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38451,"р. Свиня, 23 км, с. В'язова, вплив стоків м. Жовква",UA_A6.6.1_0078_01,Вісла,Лабораторія моніторингу вод Західного регіону,50.105767,24.001064,2026-02-03,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38455,"р. Прут, 718 км, с. Маршинці (міст), кордон з Румунією",UA_M5.3.2_0007_04,Дунай,Лабораторія моніторингу вод Західного регіону,48.199722,26.295444,2026-02-04,1.289,2.7,21.0,9.7,68.4,56.7,0.259,4.6,0.097,0.136,0.1,3.6,10.8,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38465,"р. Південний Буг, 0 км, с. Мигія, нижче м. Первомайськ , (Олександрівське водосховище), Національний природний парк ""Бузький Гард""",UA_M5.4_0028_02,Південний Буг,Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю,48.032194,30.952167,2026-02-09,,2.48,6.8,7.46,89.59999999999998,69.48,0.1449999999999999,8.449999999999998,0.05,0.4819999999999999,0.064,7.13,36.12,,,,2026-02-01_2026-02-28_output.csv
38471,"р. Бистриця Надвірнянська, 16 км, с. Берeзівка, питний в/з м.Івано-Франківськ",UA_M5.2_0397_01,Дністер,Лабораторія моніторингу вод Західного регіону,48.8399,24.696839,2026-02-10,0.62,1.0,7.0,10.0,47.0,71.0,0.17,1.0,0.01,0.015,0.1,,8.0,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38473,"р. Прут, 864 км, с. Шепарівці, питний водозабір м.Коломия, КП ""Коломияводоканал""",UA_M5.3.2_0006_01,Дунай,Лабораторія моніторингу вод Західного регіону,48.553683,24.951406,2026-02-17,0.92,1.2,14.0,12.6,113.0,65.0,0.2099999999999999,2.4,0.034,0.029,0.1,,10.0,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38475,"р. Південний Буг, 51 км, м. Нова Одеса , скид  з КП ""Прибузьке""",UA_M5.4_0029_03,Південний Буг,Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю,47.280028,31.778583,2026-02-09,,1.74,6.0,7.48,96.0,72.31999999999998,0.139,6.32,0.028,0.558,0.053,5.39,25.8,,,,2026-02-01_2026-02-28_output.csv
38512,"р. Інгул, 0 км, у межах села Привільне, міст на р. Інгул ",UA_M5.4_0970_02,Південний Буг,Лабораторія моніторингу вод та ґрунтів БУВР річок Причорномор'я та нижнього Дунаю,47.493028,32.302556,2026-02-17,,3.5,83.2,6.7,371.2,141.8,0.4219999999999999,10.35,0.157,0.989,0.061,12.58,32.86,,,,2026-02-01_2026-02-28_output.csv
38514,"Бузький лиман, 0,5 км, скид МКП ""Миколаїводоканал""",UA_M5.4_1091_01,Південний Буг,Лабораторія моніторингу вод Південного регіону ,46.79375,31.937583,2026-02-18,,,,12.08,,,,,,,,,,,,,2026-02-01_2026-02-28_output.csv
38556,"Парезовиця, 0 км, м. Стеблів, у межах  м. Стеблів",UA_M5.1.2_0682_01,Дніпро,Лабораторія моніторингу вод  Північного регіону,49.396194,31.083444,2026-02-09,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38558,"р. Тясмин, 0 км, смт Олександрівка, КП ""Оберіг"" с-ще Олександрівка",UA_M5.1.2_1054_02,Дніпро,Лабораторія моніторингу вод  Північного регіону,48.970333,32.243944,2026-02-10,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38560,"р. Сухий Омельник, 0 км, смт Онуфріївка , за межами с-ще Онуфріївка Олександрійського р-ну",UA_M5.1.2_1366_01,Дніпро,Лабораторія моніторингу вод  Північного регіону,48.8965,33.441083,2026-02-10,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38568,"р. Ворскла, 210 км, с. Міські Млини,  Полтавського району, район інтенсивного добування нафти та газу",UA_M5.1.2_1382_01,Дніпро,Лабораторія моніторингу вод  Північного регіону,49.936044,34.658422,2026-02-16,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
